ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
HFE,DSN,KN ,K,850,/,CNY       
HRB,HFE,LT ,A,3030,/,CNY       
XIY,JIC,9H ,X,560,Y,CNY       
YNT,SHE,GJ ,H,860,Y,CNY       
YNT,NGB,MU ,Q,1440,C,CNY       
KWL,LHW,MU ,R,630,Y,CNY       
XIY,HYN,KY ,Q,1090,Y,CNY       
LZO,CGO,8L ,U,390,Y,CNY       
CZX,XMN,MU ,F,4500,F,CNY       
JNZ,PVG,MU ,P,1320,Y,CNY       
LHW,KWE,UQ ,X,750,Y,CNY       
CGO,LZO,MU ,L,790,Y,CNY       
CSX,TAO,MF ,Y,1620,Y,CNY       
PVG,YBP,FM ,E,1370,Y,CNY       
YNJ,YNT,SC ,H,1000,Y,CNY       
TAO,YCU,SC ,H,860,Y,CNY       
YNT,SHE,DR ,W,280,Y,CNY       
CKG,TNA,MU ,R,500,Y,CNY       
KHN,YNZ,MU ,F,2000,F,CNY       
XIY,NNG,JD ,N,760,Y,CNY       
DLC,NGB,CZ ,M,1030,Y,CNY       
SHE,YNT,FM ,R,550,Y,CNY       
LUM,CAN,MU ,S,920,Y,CNY       
CGO,NGB,SC ,T,290,Y,CTP       
TNA,XMN,GT ,B,1320,Y,CNY       
LZO,PVG,MF ,L,1410,Y,CNY       
KWE,NGB,MU ,I,1990,C,CNY       
KWL,LHW,SC ,Q,1090,Y,CNY       
SHA,DLU,MU ,Q,3580,C,CNY       
XMN,TNA,CA ,J,3850,C,CNY       
HRB,HFE,JD ,K,1540,Y,CNY       
PVG,MIG,9C ,Y,1960,/,CNY       
YCU,PVG,FM ,C,1920,C,CNY       
HFE,INC,CA ,Y,1430,Y,CNY       
LZO,PVG,CA ,Q,1320,Y,CNY       
XIY,KWL,MU ,J,2810,C,CNY       
DLC,NGB,CZ ,E,660,Y,CNY       
TYN,DLC,FU ,Q,480,Y,CNY       
LZO,CGO,3U ,H,1030,Y,CNY       
KWL,XIY,FM ,W,1090,Y,CNY       
YNT,SHE,QW ,P,700,Y,CNY       
YBP,PVG,FM ,M,1500,Y,CNY       
NGB,KWE,CZ ,E,810,Y,CTP       
TAO,KWE,SC ,Z,810,Y,CNY       
CGO,KWL,GX ,T,360,Y,CNY       
TAO,CSX,MF ,R,650,Y,CTP       
NNG,XIY,CZ ,W,1800,Y,CNY       
DSN,PVG,FM ,P,1660,Y,CNY       
LZO,WNZ,MU ,I,2100,C,CNY       
ZYI,PVG,MU ,I,1940,C,CNY       
TAO,YIW,MU ,K,780,Y,CNY       
YZY,XIY,MU ,Q,1610,C,CNY       
XIY,NNG,3U ,G,1260,Y,CNY       
TAO,KWE,Y8 ,X,1040,Y,CNY       
CKG,TNA,MF ,F,5340,F,CNY       
DYG,XIY,3U ,C,2030,C,CNY       
HYN,XIY,KY ,W,790,Y,CNY       
NGB,CGO,CZ ,Z,350,Y,CTP       
YCU,PVG,FM ,F,3060,F,CNY       
BAV,XIY,8L ,T,220,Y,CNY       
YNT,YNJ,MU ,Y,1240,Y,CNY       
PVG,DSN,FM ,U,3860,C,CNY       
PVG,FUG,FM ,C,1110,C,CNY       
KWL,XIY,GS ,Q,840,Y,CTP       
TAO,NKG,A6 ,T,770,Y,CNY       
LUM,CAN,CZ ,B,1640,Y,CNY       
PVG,MIG,MU ,U,7160,C,CNY       
CGO,KWL,FM ,B,1150,Y,CNY       
NGB,DLC,8L ,V,650,Y,CTP       
KWL,XIY,GS ,T,340,Y,CTP       
LUM,CAN,CZ ,T,730,Y,CTP       
KWE,LHW,3U ,L,880,Y,CNY       
TAO,CSX,HO ,V,990,Y,CNY       
WNZ,LZO,GJ ,H,1420,Y,CNY       
XMN,TNA,MU ,U,2570,C,CNY       
FUG,PVG,FM ,V,280,Y,CNY       
TAO,YCU,MU ,Y,1080,Y,CNY       
HFE,DSN,MU ,P,1200,Y,CNY       
CSX,TAO,HU ,M,970,Y,CNY       
NGB,CKG,CZ ,B,1730,Y,CTP       
TAO,YCU,SC ,U,490,Y,CNY       
TAO,NKG,JD ,C,4400,C,CNY       
PVG,MIG,HO ,H,1360,Y,CNY       
KWL,CGO,GT ,E,770,Y,CTP       
PVG,DLU,MU ,V,1210,Y,CNY       
PVG,ZYI,MU ,W,1640,Y,CNY       
LHW,KWE,UQ ,U,410,Y,CNY       
XIY,DYG,JD ,T,200,Y,CNY       
HGH,WUH,CA ,U,570,Y,CNY       
PVG,TVS,FM ,L,860,Y,CNY       
JIC,XIY,MU ,K,700,Y,CNY       
LLV,PVG,MU ,W,1410,Y,CNY       
KWE,LHW,CZ ,F,5520,F,CNY       
NGB,KWE,9C ,T,1030,Y,CTP       
LZO,NKG,ZH ,V,850,Y,CNY       
LZO,WNZ,MU ,C,2490,C,CNY       
BAV,XIY,G5 ,Q,590,Y,CNY       
JIC,XIY,9H ,M,620,Y,CNY       
XMN,CZX,SC ,Q,610,Y,CNY       
XIY,DYG,9H ,N,340,Y,CNY       
NGB,CGO,9C ,U,530,Y,CTP       
KWE,NGB,EU ,A,2180,F,CNY       
PVG,YBP,MU ,N,1210,Y,CNY       
DSN,PVG,MU ,V,550,Y,CNY       
CGO,NGB,SC ,E,300,Y,CTP       
CGO,NGB,HU ,P,600,Y,CTP       
LZO,CGO,3U ,I,2060,C,CNY       
CKG,NGB,9C ,N,1240,Y,CTP       
NGB,KWE,GY ,L,1140,Y,CTP       
TNA,XMN,GT ,L,970,Y,CNY       
DLC,LHW,CZ ,B,1770,Y,CNY       
LZO,PVG,MU ,N,1170,Y,CNY       
PVG,JNZ,MU ,L,940,Y,CNY       
XIY,DYG,MU ,C,1560,C,CNY       
SHA,DLU,MU ,D,3710,C,CNY       
CGO,NGB,PN ,Z,230,Y,CTP       
XIY,WEH,MU ,R,680,Y,CNY       
DSN,PVG,MU ,E,1530,Y,CNY       
LHW,DYG,MU ,R,600,Y,CNY       
YNT,YNJ,A6 ,Y,1240,Y,CNY       
TAO,NKG,A6 ,I,580,Y,CNY       
XIY,WEH,MU ,K,900,Y,CNY       
DSN,WUH,MU ,N,800,Y,CNY       
TAO,NKG,HO ,T,490,Y,CNY       
XIY,YZY,GS ,Y,1240,Y,CNY       
PVG,WUT,FM ,Y,1460,Y,CNY       
KWL,CGO,CZ ,B,1160,Y,CNY       
NGB,DLC,HU ,V,590,Y,CTP       
XIY,KWL,JD ,T,310,Y,CNY       
XNN,HFE,PN ,B,1750,Y,CNY       
WUH,LZO,MU ,B,1070,Y,CNY       
CSX,TAO,HO ,V,990,Y,CNY       
TYN,DLC,FU ,X,720,Y,CNY       
YNZ,KHN,MU ,S,390,Y,CNY       
PVG,FUG,KN ,V,280,/,CNY       
DLC,NGB,GJ ,R,1230,Y,CNY       
XNN,HFE,PN ,L,1290,Y,CNY       
